epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.235,1.78752,4.80195,1.64671,0,0,0,0,1.27372,4.57444,1.60477,7.14e-05,7.14e-05,7.14e-05
2,92.2267,1.29783,4.16839,1.30706,0.01017,0.07982,0.00991,0.00774,0.93981,4.30806,1.22114,0.000144921,0.000144921,0.000144921
3,134.138,1.16885,3.53678,1.22121,0.04434,0.43167,0.08516,0.0527,1.06667,3.93243,1.25605,0.000216957,0.000216957,0.000216957
4,175.519,1.13854,3.09275,1.18424,0.03022,0.76057,0.14419,0.10858,0.8989,3.38163,1.15929,0.00028751,0.00028751,0.00028751
5,217.14,1.07498,2.88149,1.16281,0.02929,0.79715,0.14491,0.10624,1.1393,3.16286,1.29074,0.000342863,0.000342863,0.000342863
6,258.995,1.06882,2.74275,1.14924,0.08003,0.76703,0.21238,0.15394,0.89487,3.24281,1.18578,0.000339329,0.000339329,0.000339329
7,300.619,1.04311,2.64755,1.17266,0.29384,0.42686,0.25063,0.19612,0.88496,2.66344,1.1719,0.000335794,0.000335794,0.000335794
8,342.08,1.01801,2.51668,1.1314,0.43335,0.24483,0.24841,0.19848,0.80231,2.72174,1.12173,0.00033226,0.00033226,0.00033226
9,383.622,1.00761,2.40662,1.11858,0.24105,0.53317,0.32959,0.27135,0.79304,2.36723,1.16464,0.000328726,0.000328726,0.000328726
10,425.375,0.99128,2.34292,1.11198,0.36219,0.43327,0.38398,0.31526,0.81724,2.24286,1.16058,0.000325191,0.000325191,0.000325191
11,466.701,0.95827,2.22039,1.10245,0.37834,0.59087,0.40571,0.33945,0.79122,2.20064,1.14578,0.000321657,0.000321657,0.000321657
12,508.625,0.96616,2.18405,1.10853,0.33358,0.68167,0.47392,0.39662,0.76308,2.05662,1.10758,0.000318123,0.000318123,0.000318123
13,550.54,0.92799,2.09437,1.09689,0.37069,0.63773,0.51602,0.42746,0.79354,1.98376,1.11654,0.000314588,0.000314588,0.000314588
